Species	Eggshell
Sphenodon	1
Leiolepis_belliana	0
Uromastyx_aegyptius	0
Chameleo_levigatus	0
Calotes_emma	0
Agama_agama	0
Phrynosoma_platyrhinos	0
Morunasaurus_annularis	0
Basiliscus_basiliscus	0
Anolis_carolinensis	0
Brachylophus_fasciatus	0
Petrosaurus_meanrsi	0
Delma_borea	2
Coleonyx_variegatus	2
Gonatodes_albogularis	2
Lacerta_viridis	0
Aspidoscelis_tigris	0
Platysaurus_imperator	0
Xantusia_vigilis	0
Plestiodon_fasciatus	0
Scincus_scincus	0
Trachylepis_quinquetaeniata	0
Pseudopus_apodus	0
Elgaria_multicarinata	0
Heloderma_horridus	0
Varanus_salvator	0
Anelytropsis_papillosus	2
Amphisbaena_fullginosa	0
Leptotyphlops_dulcis	0
Xenopeltis_unicolor	0
Casarea_dussumieri	0
Morelia_viridis	0
Xenodermus_javanicus	0
Lachesis_muta	0
Pterodactyloid_indet._china	0
Darwinopterus	0
Beipiaopterus	0
Pterodaustro	2
Hamipterus_tianshanensis	0
Kunpengopterus_sp.	0
Alligator_mississippiensis	2
Caiman_yacare	2
Caiman_siamensis	2
Crocodilus_niloticus	2
Gharial	2
Herrerasaurus	NA
Eoraptor	NA
Telmatosaurus_	2
Hypachrosaurus	2
Maiasaura	2
Heterodontosaurus	NA
Thyreophora	NA
Pachycephalosauridae	NA
Protoceratops	0
Coronosauria_Leptoceratopsidae	NA
Lesothosaurus	NA
Saturnalia	NA
Plateosaurus	NA
Massospondylus	0
Lufengosaurus	0
Mussaurus	0
Diplodocoidea	NA
Argentinian_titanosaur	2
Saltasaurus	2
Romanian_titanosaur	2
French_titanosaur_Hypselosaurus	2
Indian_titanosaur	2
Spanish_titanosaur	2
Coelophysis	NA
Dilophosaurus	NA
Ceratosaurus_	NA
Christodera	0
Torvosaurus	2
Megalosaurus	NA
Spinosaurus	NA
Lourinhasaurus	2
Tyrannosauroidea	NA
Sinosauropteryx	2
Compsognathus	NA
Scipionyx	NA
Oviraptor_sato_et_al	2
Citipati	2
Oviraptor	2
Gigantoraptor	2
Beibeilong_sinensis	2
Heyuannia	2
Therizinosauroid_china	2
Deinonychus	2
Dromaeosaur_indet	2
Troodon_formosus	2
Almas	2
Inga	2
Medium_sized_troodontid	2
large_sized_troodontid	2
Enanthiornithinae_Romania	2
Enanthiornithinae_Mongolia	2
Archaeopteryx	NA
Confuciusornis	NA
Argentinian_enanthiornithinae	2
Ornithothoraces_indet._Argentina	2
Ornithuromorpha_indet._Argentina	2
Chinese_troodontid	2
Dromaius_novaehollandae	2
Apteryx	2
Struthio	2
Nothoprocta	2
Gallus_domesticus	2
Anas	2
Tyto_alba	2
Columba	2
Bonapartonykus	2
Gobibipus	2
